question,sentence
Will the Chinese Stock Market continue to rise throughout 2015?,"Frontrunner for deputy leader questions whether Jim O’Neill is suitable for role as minister for infrastructure, after Chinese stock market rout"
Will the Chinese Stock Market continue to rise throughout 2015?,"BERLIN (Reuters) - Ructions in the Chinese stock market and currency suggest the country has reached a ""critical point"" where the absence of democratic freedoms is a growing threat to economic stability, Chinese artist and free-speech advocate Ai Weiwei says.
  
"
Will the Chinese Stock Market continue to rise throughout 2015?,"The impact of the Chinese stock market on Australia will not be great, but its slowing economy and demand for goods will continue to be a drag on our growth "
Will the Chinese Stock Market continue to rise throughout 2015?,"9.23am BST   This Bloomberg chart show how the Chinese stock market ran out of juice today, after attempting an afternoon rally:    Shanghai composite index, August 26 2015 Photograph: Bloomberg       9.12am BST   China has muscled the Greek debt crisis out of the way, to become the biggest issue causing investors sleepless nights:  You could say investors are concerned about China... pic.twitter.com/NuH7LAwBvB— Callum Thomas (@Callum_Thomas) August 25, 2015      9.09am BST      The boss of luggage maker Samsonite has warned that sales growth to Chinese customers will halve this year, in a sign that the economy is weakening."
Will the Chinese Stock Market continue to rise throughout 2015?,Click here for latest updatesDow Jones index sheds 588 pointsS&P and Nasdaq now in correction territoryFTSE 100 sheds £74bnVIX ‘fear index’ jumpsPhotos: Markets fall around the worldChinese stock market tumbled 8.5%; biggest fall since 2007
Will the Chinese Stock Market continue to rise throughout 2015?,European and US shares tumbled after turmoil returned to haunt the Chinese stock market on Monday.
Will the Chinese Stock Market continue to rise throughout 2015?,"He said the Chinese stock market had become overblown and was undergoing a correction, but long-term secular growth in China was here to stay."
Will the Chinese Stock Market continue to rise throughout 2015?,"In an interview on 3AW, Hockey said the Chinese stock market was “quite irrational”."
Will the Chinese Stock Market continue to rise throughout 2015?,"The Chinese stock market fell really spectacularly.” Connor Campbell, an analyst at the spread betting firm Spreadex, said: “The fog of fear over the state of the Chinese economy is only thickening, and with little in the way of non-Chinese news to come this Monday, the markets are going to struggle to escape today without some fairly ugly scars."
Will the Chinese Stock Market continue to rise throughout 2015?,Prudential says turbulence on the Chinese stock market has had little effect on its business there as it reported first-half profit ahead of City forecasts.
Will the Chinese Stock Market continue to rise throughout 2015?,"The Chinese stock market fell really spectacularly.”      The tumultuous day on the markets greatly reduces the chance of the US Federal Reserve moving to increase interest rates in September, something that had been widely expected by economists."
Will the Chinese Stock Market continue to rise throughout 2015?,"Arises like the Loch Ness monster pic.twitter.com/hFugi8Rgfv— Richard Frost (@frostyhk) August 27, 2015   @LorcanRK @frostyhk The rarely-seen but highly-prized Loch Ness pattern appears pic.twitter.com/bPitJ9BQtJ— Daniel Lin (@DLin71) August 27, 2015   Updated at 9.08am BST    8.45am BST   As FastFT points out, we don’t really know, yet, why the Chinese stock market jumped today."
Will the Chinese Stock Market continue to rise throughout 2015?,"The FTSE 100 is down 28.09 points at 6522.21, with mining shares hit by another slump in the Chinese stock market - down 6% amid fears of the outlook for the world’s second largest economy."
Will the Chinese Stock Market continue to rise throughout 2015?,"pic.twitter.com/hCUlQxuUIo— Holger Zschaepitz (@Schuldensuehner) August 25, 2015      8.29am BST  Chinese stock market crashes 7.6%     Investors look at stock information on an electronic board at a brokerage house in Hangzhou, Zhejiang province today."
Will the Chinese Stock Market continue to rise throughout 2015?,"If you’re worried about the impact of Chinese stock market falls on your investments, Guardian Investing can help."
Will the Chinese Stock Market continue to rise throughout 2015?,The recovery came as the Chinese stock market seemed to stabilise towards the close of trading amid talk of intervention by the authorities.
Will the Chinese Stock Market continue to rise throughout 2015?,"The latest slide on the Chinese stock market (down 3% today), and fresh tensions in emerging markets (hello Kazakhstan!)"
Will the Chinese Stock Market continue to rise throughout 2015?,"The cost of living picked up in July, despite another drop in British food prices and transport costsLatest: Spain votes on Greek dealUK inflation turns positive - coverage start herePound jumps as core inflation spikesJeremy Cook: Rates may rise in February 2016Earlier:Eurozone parliaments vote on Greece Schäuble urges German MPs not to rebelChinese stock market tanks 6%"
Will the Chinese Stock Market continue to rise throughout 2015?,"If not, get shopping.— Damian McBride (@DPMcBride) August 24, 2015  While the wild fluctuations of the Chinese stock market haven’t yet meant bare supermarket shelves in Britain, there are plenty of doom-mongers out there who suggest that we should now be preparing for the worst."
Will the Chinese Stock Market continue to rise throughout 2015?,"While lounging by the pool at his gîte or casa rurale this summer, the Treasury’s permanent secretary Nick Macpherson might have had a twinge or two about the Chinese stock market but he hasn’t spent time worrying about the number of departments in Whitehall."
Will the NYSE stop trading anytime in 2015?,Watch:  NYSE Halts All Trading
Will the NYSE stop trading anytime in 2015?,Watch:  NYSE Resumes Floor Trading
Will the NYSE stop trading anytime in 2015?,How Twitter reacted to NYSE 'glitch'
Will the NYSE stop trading anytime in 2015?,NYSE temporarily suspends trading of all securities
Will the NYSE stop trading anytime in 2015?,Watch:  NYSE Trading Halted for Over 2 Hours
Will the NYSE stop trading anytime in 2015?,NYSE shutdown caused by engineers loading wrong software to system
Will the NYSE stop trading anytime in 2015?,NYSE shut down for nearly four hours by technical glitch
Will the NYSE stop trading anytime in 2015?,"NYSE shutdown: for traders, a lengthy smoke break and fretting over the future"
Will the NYSE stop trading anytime in 2015?,Stock trading closed on NYSE after glitch caused major outage – as it happened
Will the NYSE stop trading anytime in 2015?,Watch:  NYSE Trading Resumes; United Airlines Flights Grounded for Hours Nationwide; Facebook Makes Subtle Change to Icon
Will the NYSE stop trading anytime in 2015?,"Watch:  NYSE Halts Trading Due to Technical Glitch, SC House Debates Confederate Flag, Federer Wins Quarterfinals Match"
Will the NYSE stop trading anytime in 2015?,The NYSE shut down for hours; Baltimore's police commissioner fired by mayor.
Will the NYSE stop trading anytime in 2015?,System failure at New York Stock Exchange has attracted attention to swift and deep staffing cuts made since NYSE was purchased by Intercontinental Exchange in 2012.
